Country,Rice(ha),Rice(t),Rice(Kcal),Rice(%),Rice new(ha),Rice new(t),Rice new(Kcal),Corn(ha),Corn(t),Corn(Kcal),Corn(%),Corn new(ha),Corn new(t),Corn new(Kcal),Wheat(ha),Wheat(t),Wheat(Kcal),Wheat(%),Wheat new(ha),Wheat new(t),Wheat new(Kcal),Soya(ha),Soya(t),Soya(Kcal),Soya(%),Soya new(ha),Soya new(t),Soya new(Kcal),Roots and tubers(ha),Roots and tubers(t),Roots and tubers(Kcal),Roots and tubers(%),Roots and tubers new(ha),Roots and tubers new(t),Roots and tubers new(Kcal),sum(ha),sum(t),sum(Kcal),sum new(ha),sum new(t),sum new(Kcal),Calorie difference(%)
Japan,980490,6488243,1.34262E+13,90.00%,1208431.8,7996613.089,1.65475E+13,62,165,389306378.6,0.00%,0,0,0,211900,764900,2.46064E+12,5.00%,67135.1,242339.0184,7.7959E+11,146600,211300,1.82514E+12,5.00%,67135.1,96764.30171,8.3582E+11,3650,55589,23111261475,0.00%,0,0,0,1342702,7520197,1.77355E+13,1342702,8335716.409,1.81629E+13,2.41%
Jordan,0,0,0,0.00%,0,0,0,1033,21914,6486346598,5.00%,954.1,20240.22014,5990922835,18049,20668,2.0959E+11,95.00%,18127.9,20758.34878,2.10506E+11,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,19082,42582,2.16076E+11,19082,40998.56892,2.16497E+11,0.19%
kazakhstan,67687,322124,9.26863E+11,1.00%,116957.52,556603.5453,1.60154E+12,150062,862094,9.4226E+11,2.00%,233915.04,1343822.903,1.46878E+12,11354380,13944108,1.3185E+14,96.00%,11227921.92,13788807.13,1.30382E+14,123623,255437,1.53909E+12,1.00%,116957.52,241664.3993,1.4561E+12,0,0,0,0.00%,0,0,0,11695752,15383763,1.35258E+14,11695752,15930897.97,1.34908E+14,-0.26%
Kenya,17319,73587,2.37155E+11,2.00%,45937.6,195185.0668,6.2904E+11,2141743,4013777,1.34483E+13,95.00%,2182036,4089288.916,1.37013E+13,133147,336600,1.54614E+12,3.00%,68906.4,174197.648,8.00159E+11,2304,2356,28684404472,0.00%,0,0,0,2367,18692,14987494770,0.00%,0,0,0,2296880,4445012,1.52753E+13,2296880,4458671.63,1.51305E+13,-0.95%
Kuwait,0,0,0,0.00%,0,0,0,504,8869,3164684110,100.00%,507,8921.791667,3183521515,3,9,34836780.3,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,507,8878,3199520890,507,8921.791667,3183521515,-0.50%
Lebanon,0,0,0,0.00%,0,0,0,869,3288,5456568435,2.00%,821.7,3109.032911,5159565343,40216,135411,4.66999E+11,98.00%,40263.3,135570.2635,4.67548E+11,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,41085,138699,4.72455E+11,41085,138679.2964,4.72707E+11,0.05%
Liberia,158806,172083,2.17459E+12,98.00%,158854.08,172135.0997,2.17525E+12,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,3290,7720,40959935206,2.00%,3241.92,7607.180061,40361347460,0,0,0,0.00%,0,0,0,162096,179803,2.21555E+12,162096,179742.2798,2.21561E+12,0.00%
Lithuania,0,0,0,0.00%,0,0,0,13394,87587,84102736038,1.00%,7862.79,51416.91711,49371520972,772885,2838899,8.97494E+12,99.00%,778416.21,2859215.796,9.03917E+12,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,786279,2926486,9.05904E+12,786279,2910632.713,9.08854E+12,0.33%
Luxembourg,0,0,0,0.00%,0,0,0,91,565,571401297.6,0.00%,0,0,0,12984,78409,1.50774E+11,100.00%,13075,78958.53936,1.5183E+11,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,13075,78974,1.51345E+11,13075,78958.53936,1.5183E+11,0.32%
maldives,0,0,0,90.00%,453.6,0,6211309248,29,147,182094919,5.00%,25.2,127.737931,158234205.5,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,475,2170,3007629918,5.00%,25.2,115.1242105,159562682,504,2317,3189724837,504,242.8621416,6529106136,104.69%
